timestamp,source,destination,source_lat,source_lon,destination_lat,destination_lon,cab_type,product_id,distance,surge_multiplier,price
2022-03-16 01:08:00,Queens,Bronx,40.76574030459212,-74.09534200381157,40.651367311478865,-73.94973606807535,Uber,UberXL,13.84462662490647,1.0,26.728096593586322
2022-01-27 08:09:00,Financial District,Financial District,40.7298932965548,-74.03044725195035,40.7109655059861,-73.99578075626256,Uber,UberSUV,8.124869469286484,2.7,45.14000824237864
2022-01-05 08:31:00,Upper West Side,Upper East Side,40.618829101503934,-74.0393277967465,40.64411422674064,-73.91127680376977,Uber,UberBLACK,2.8266755729910544,2.6,19.3613738571093
2022-03-31 04:22:00,Upper West Side,Brooklyn,40.78222346436513,-74.04800863624138,40.807741078348904,-73.91692564468961,Lyft,Lyft XL,2.591359624002898,1.21,8.512204003826136
2022-02-21 11:36:00,Staten Island,Staten Island,40.63859409266555,-74.06144401392507,40.70400981253476,-73.94802381824796,Lyft,Lyft Black,4.341999766733597,1.0,10.098499591783796
2022-01-14 17:01:00,Williamsburg,Harlem,40.627380771827895,-74.10160724825117,40.81076120153262,-73.97161864839765,Lyft,Lyft XL,1.165490004835164,1.54,6.990995563030768
2022-01-15 07:17:00,Financial District,Financial District,40.80672214241925,-74.04486904864797,40.67141862762006,-74.04298902836328,Lyft,Lyft XL,11.5736006736777,2.58,58.70480704165481
2022-01-24 07:26:00,Harlem,Upper East Side,40.68412720934922,-73.93399595838433,40.74188375920036,-73.95588809824787,Lyft,Lyft Black,8.872480531104658,2.5,45.06710232358288
2022-01-16 09:14:00,Central Park,Brooklyn,40.718878630473085,-74.05692096023863,40.77020282221374,-73.99758430814761,Uber,UberPOOL,6.763268684028843,1.72,24.657438738926817
2022-03-05 09:45:00,Manhattan,Lower East Side,40.697697660072286,-73.97141967802085,40.617234318153024,-73.97490221166771,Lyft,Lyft XL,14.081153532559448,1.35,36.641725220671695
2022-03-16 17:11:00,Times Square,Staten Island,40.754116624107986,-73.97669157601085,40.67984836150137,-74.07204640610408,Lyft,Lyft,14.988793226639377,2.98,85.61655667692435
2022-03-18 19:32:00,Central Park,Manhattan,40.682835398201895,-74.0057565493677,40.64438416060994,-74.06667198044326,Lyft,Lyft,1.6709357738230641,2.23,12.095826857344507
2022-02-09 21:32:00,Manhattan,Upper West Side,40.758836958099174,-74.02043871673835,40.668813046429655,-74.0986103937633,Lyft,Lyft Shared,6.589004135359547,1.0,14.030757236879207
2022-01-21 01:48:00,Times Square,Lower East Side,40.688018694252825,-73.91619895875883,40.76086608109498,-73.9130041572123,Uber,UberBLACK,9.217321672217235,1.46,27.200256872515034
2022-02-23 02:31:00,Staten Island,Lower East Side,40.629742271431084,-73.95123884208263,40.782601150056045,-73.98005331378032,Lyft,Lyft XL,5.3372646955005365,1.21,14.326657992722385
2022-02-03 13:04:00,Central Park,Upper East Side,40.77321546814002,-73.95465071946457,40.62401535984646,-74.02114709196357,Lyft,Lyft Shared,12.932552773405478,1.07,26.89120506820176
2022-02-04 18:20:00,Harlem,Staten Island,40.65042563883051,-74.01609600226853,40.71512053372746,-73.93199482385045,Lyft,Lyft,14.135330527658034,1.54,41.94471577203841
2022-02-12 16:12:00,Lower East Side,Bronx,40.73383266169956,-74.0139789457687,40.802688444803096,-73.91586441070804,Lyft,Lyft Shared,12.702886473963648,1.88,46.492496499340405
