timestamp,temperature,humidity,wind_speed,precipitation_type
2022-01-01 00:00:00,0.4,54.3,1.5,clear
2022-01-01 01:00:00,-2.0,81.5,13.7,clear
2022-01-01 02:00:00,1.7,70.7,12.0,clear
2022-01-01 03:00:00,1.1,89.9,23.8,clear
2022-01-01 04:00:00,2.9,83.9,13.2,hail
2022-01-01 05:00:00,6.5,86.2,24.2,rain
2022-01-01 06:00:00,4.2,78.3,22.8,snow
2022-01-01 07:00:00,5.1,74.2,15.3,rain
2022-01-01 08:00:00,6.6,55.0,24.1,rain
2022-01-01 09:00:00,6.8,43.0,24.4,clear
2022-01-01 10:00:00,7.1,57.0,8.4,clear
2022-01-01 11:00:00,10.8,41.1,8.3,clear
2022-01-01 12:00:00,11.8,58.0,7.6,rain
2022-01-01 13:00:00,7.3,42.6,10.4,clear
2022-01-01 14:00:00,8.6,49.0,15.4,clear
2022-01-01 15:00:00,7.3,48.8,22.4,clear
2022-01-01 16:00:00,6.8,47.2,24.2,clear
2022-01-01 17:00:00,8.5,54.3,8.7,rain
2022-01-01 18:00:00,2.8,78.2,19.8,snow
2022-01-01 19:00:00,3.0,59.3,4.9,rain
2022-01-01 20:00:00,0.6,54.4,17.2,clear
2022-01-01 21:00:00,0.5,53.1,6.8,clear
2022-01-01 22:00:00,3.2,81.6,15.9,rain
2022-01-01 23:00:00,2.1,75.6,22.2,sleet
2022-01-02 00:00:00,1.9,81.2,17.7,rain
2022-01-02 01:00:00,0.9,72.9,13.9,hail
2022-01-02 02:00:00,3.4,76.9,0.7,clear
2022-01-02 03:00:00,-1.4,52.0,6.3,clear
2022-01-02 04:00:00,3.3,87.2,16.0,rain
2022-01-02 05:00:00,5.4,86.0,22.8,sleet
2022-01-02 06:00:00,2.9,41.4,24.7,clear
2022-01-02 07:00:00,5.6,71.5,13.7,rain
2022-01-02 08:00:00,5.5,72.2,7.6,clear
2022-01-02 09:00:00,9.6,73.0,9.5,clear
2022-01-02 10:00:00,9.2,40.3,15.0,clear
2022-01-02 11:00:00,9.4,48.3,9.8,clear
2022-01-02 12:00:00,12.6,42.7,22.5,clear
2022-01-02 13:00:00,7.9,44.2,6.8,clear
2022-01-02 14:00:00,9.7,57.8,5.0,clear
2022-01-02 15:00:00,8.6,56.0,16.2,clear
2022-01-02 16:00:00,10.2,54.1,1.1,clear
2022-01-02 17:00:00,7.6,45.5,14.7,clear
2022-01-02 18:00:00,7.9,68.1,5.9,clear
2022-01-02 19:00:00,3.0,72.8,19.6,clear
2022-01-02 20:00:00,3.2,78.2,23.5,clear
2022-01-02 21:00:00,2.9,53.2,15.3,clear
2022-01-02 22:00:00,2.4,53.0,5.1,clear
2022-01-02 23:00:00,-1.0,63.9,12.4,clear
2022-01-03 00:00:00,1.9,59.9,15.7,clear
2022-01-03 01:00:00,1.3,80.8,17.2,clear
2022-01-03 02:00:00,1.3,60.4,0.1,clear
2022-01-03 03:00:00,1.7,62.3,14.5,clear
2022-01-03 04:00:00,1.8,68.3,18.1,thunderstorm
2022-01-03 05:00:00,3.1,84.5,19.3,clear
2022-01-03 06:00:00,4.2,70.2,3.0,thunderstorm
2022-01-03 07:00:00,9.1,56.2,8.0,clear
2022-01-03 08:00:00,6.5,75.2,10.2,clear
2022-01-03 09:00:00,8.1,48.7,19.5,clear
2022-01-03 10:00:00,9.4,40.2,12.4,rain
2022-01-03 11:00:00,7.6,72.6,20.9,clear
2022-01-03 12:00:00,9.4,71.1,2.3,clear
2022-01-03 13:00:00,12.5,69.7,1.9,clear
2022-01-03 14:00:00,6.8,42.1,11.6,clear
2022-01-03 15:00:00,9.9,72.8,23.4,clear
2022-01-03 16:00:00,5.4,60.7,17.4,clear
2022-01-03 17:00:00,3.7,60.4,13.5,rain
2022-01-03 18:00:00,7.8,61.3,3.5,clear
2022-01-03 19:00:00,3.1,57.9,7.1,rain
2022-01-03 20:00:00,3.8,61.2,13.6,clear
2022-01-03 21:00:00,2.4,71.4,1.6,clear
2022-01-03 22:00:00,1.6,85.1,3.9,clear
2022-01-03 23:00:00,-0.7,64.0,16.3,sleet
2022-01-04 00:00:00,1.3,69.3,15.5,clear
2022-01-04 01:00:00,-2.8,88.8,19.9,clear
2022-01-04 02:00:00,0.2,53.1,9.8,clear
2022-01-04 03:00:00,2.1,69.3,22.7,clear
2022-01-04 04:00:00,4.8,82.5,9.9,clear
2022-01-04 05:00:00,4.5,55.6,19.9,thunderstorm
2022-01-04 06:00:00,7.5,42.4,9.9,clear
2022-01-04 07:00:00,8.6,75.8,6.6,clear
2022-01-04 08:00:00,4.6,78.1,16.0,thunderstorm
2022-01-04 09:00:00,10.4,79.5,20.9,clear
2022-01-04 10:00:00,10.4,73.4,5.3,thunderstorm
2022-01-04 11:00:00,7.4,44.8,19.6,rain
2022-01-04 12:00:00,10.6,67.6,7.8,rain
2022-01-04 13:00:00,10.5,78.0,4.8,clear
2022-01-04 14:00:00,10.0,78.0,10.2,rain
2022-01-04 15:00:00,6.6,68.7,20.9,clear
2022-01-04 16:00:00,7.9,78.9,17.4,clear
2022-01-04 17:00:00,8.6,55.1,2.9,hail
2022-01-04 18:00:00,7.9,59.9,2.2,clear
2022-01-04 19:00:00,1.2,89.3,24.7,rain
2022-01-04 20:00:00,3.8,72.9,16.3,rain
2022-01-04 21:00:00,4.0,75.3,2.2,clear
2022-01-04 22:00:00,-0.4,82.9,0.8,rain
